Title,ParaphrasedAbstract
Exploratory analysis of the effectiveness of virtual reality in cardiovascular rehabilitation,"Research has demonstrated the efficacy of virtual reality therapy in managing psychological disorders comorbid with cardiovascular disease. However, the impact of age on the therapeutic outcomes in virtual settings remains unclear. This study aimed to investigate whether age influences the effectiveness of virtual reality interventions in alleviating depression and anxiety in patients with cardiovascular disease. A total of 50 patients, divided into two age groups (<65 and 65+), participated in virtual reality therapy and were assessed using the Hospital Anxiety and Depression Scale before and after the intervention. The results revealed significant decreases in anxiety and depression scores across both age groups, with no notable differences between younger and older participants. Moreover, age was found not to be a significant predictor of the intervention's effectiveness in reducing anxiety and depressive symptoms. These findings suggest that older patients can derive similar benefits from virtual reality-based psychological interventions as their younger counterparts, and age does not appear to be a determining factor in the therapy's success."
Designing for collaborative learning in immersive virtual reality: a systematic literature review,"Advanced digital learning platforms, exemplified by virtual reality, have been hailed as the future of educational environments. Despite this, there is a scarcity of research exploring the design, implementation, and analysis of immersive technologies in collaborative educational settings. This study presents a comprehensive review of empirical research on the utilization of immersive virtual reality in collaborative learning within academic and professional contexts. A total of 11 studies were categorized and analyzed through a narrative synthesis, highlighting the pedagogical principles underlying learning design, virtual environment development, and collaborative activities facilitated by the technology. The findings indicate that collaborative learning in virtual reality can be characterized as a shared, immersive experience where learners collectively address a common objective or challenge. This understanding underscores the need to develop technologies, environments, and activities that promote participation, social interaction, and collaborative learning processes. Based on this conceptual framework, we offer a set of guidelines for designing collaborative learning experiences in immersive virtual reality. The study concludes that virtual reality-based collaborative learning creates a simulated environment for practice and reflection, enhancing engagement without compromising real-world practices. However, current designs face challenges related to usability, realism, and facilitating social interaction. Furthermore, the study identifies a need for future research to investigate the dynamics within virtual reality, moving beyond post-experience evaluations."
Implementation of virtual reality in healthcare: a scoping review on the implementation process of virtual reality in various healthcare settings,"Here is a paraphrased version of the original text, exhibiting both syntactic and lexical diversity while preserving semantic similarity:

""The incorporation of virtual reality (VR) technology in healthcare settings is gaining momentum, driven by recent breakthroughs that unlock new possibilities for diagnosis and treatment. This immersive technology, which utilizes a headset to simulate a virtual environment, creates a convincing illusion of physical presence. Despite VR's potential to revolutionize healthcare, its integration into clinical practice remains in its early stages, hindered by challenges in implementation. Effective integration could significantly enhance the adoption, utilization, and impact of VR. However, the procedures for implementing VR technology in healthcare settings remain understudied. This scoping review aimed to investigate the current state of VR implementation in healthcare and identify key factors influencing its integration.

A comprehensive literature review was conducted, encompassing articles published up to February 2022, guided by the methodological framework of Arksey and O'Malley (2005). A systematic search of Scopus, PsycINFO, and Web of Science databases yielded 5523 records, of which 29 were selected for this study. The extracted data revealed that most studies focused on the obstacles and facilitators to implementation, highlighting similar factors related to the behavior of VR adopters and the organizational resources required. However, few studies examined systematic implementation or employed theoretical frameworks to guide integration.

Despite the recommendation for a structured, multi-level implementation intervention to support the needs of all stakeholders, the identified barriers and facilitators were not linked to specific implementation objectives or strategies to overcome these barriers. To propel VR implementation in healthcare forward, it is essential to adopt a comprehensive approach that encompasses the entire process, from identifying barriers to developing and employing a coherent, multi-level implementation intervention with suitable strategies. This process could be supported by implementation frameworks, focusing on behavior change among stakeholders such as healthcare providers, patients, and managers, ultimately leading to increased adoption and utilization of VR technologies that add value to healthcare practice."""
Virtual and augmented reality in biomedical engineering,"In the years to come, the widespread adoption of extended reality technology is anticipated. As a result, individuals will increasingly incorporate virtual reality (VR) and augmented reality (AR) into their daily routines, leisure activities, diverse forms of entertainment, and professional pursuits. The medical sector has witnessed significant advancements in AR, with applications spanning from educational initiatives to image-guided surgical interventions. Furthermore, a substantial body of research is concentrated on clinical applications, with the majority focused on surgical or interventional procedures, followed by rehabilitation and treatment strategies. Additionally, numerous investigations have probed the utilization of AR in medical education and training."
An immersive virtual reality learning environment with CFD simulations: Unveiling the Virtual Garage concept,"The incorporation of virtual reality into the engineering education and training paradigm has yielded a substantial enhancement, broadening the scope of available resources. By harnessing the cognitive and behavioral benefits of virtual reality, educators can facilitate a more seamless understanding of complex concepts that often pose difficulties for students. In the realm of chemical engineering, computational fluid dynamics simulations play a vital role in the design and analysis of problems, although their direct application in educational settings can be hindered by implementation and operational challenges. To address these obstacles, this study introduces the ""Virtual Garage,"" a task-oriented virtual reality platform that integrates CFD simulations to provide a comprehensive, immersive learning experience centered on real-world engineering problems. The efficacy of the Virtual Garage was evaluated through a pilot study involving 24 graduate students, who assessed its usability, user experience, task load, and simulator sickness via standardized questionnaires, self-reported metrics, and semi-structured interviews. The results indicate a positive reception among participants, highlighting areas for further improvement to optimize the virtual reality experience with CFD simulations. The study's findings offer practical insights for developers and practitioners seeking to integrate virtual reality into their educational approaches."
Virtual reality headsets for perimetry testing: a systematic review,"The assessment of a patient's visual field is typically conducted using conventional automated perimetry, regarded as the benchmark for this purpose. However, this method is hindered by its high cost and requirement for a fixed testing setting. As a result, innovative perimetric tools utilizing virtual reality (VR) technology have emerged as a viable alternative for measuring visual fields. This systematic review seeks to provide a comprehensive overview of both cutting-edge and established VR headsets in the existing literature, exploring their potential uses in visual field assessment. A thorough search of prominent databases, including MEDLINE, Embase, CINAHL, and the Core Collection (Web of Science), was conducted to identify relevant articles published up to January 2023. Studies specific to this topic were identified using relevant subject headings and keywords related to virtual reality and visual field. Following a rigorous screening process, 64 studies describing 36 VR headset perimetry devices were selected for analysis. These devices employ diverse visual field measurement techniques, including static and kinetic perimetry, with some offering additional vision rehabilitation capabilities. The findings of this review suggest a growing agreement that VR headset perimetry devices perform equally well as, or even surpass, standard automated perimetry in terms of accuracy, while offering advantages such as improved patient tolerance, cost-effectiveness, and increased accessibility for patients with mobility limitations."
Immersive virtual reality in orthopaedics—a narrative review,"This comprehensive analysis delves into the multifaceted advantages and uses of immersive virtual reality technology in the field of orthopaedics, with a particular emphasis on its role in refining surgical proficiency, expediting patient rehabilitation, and alleviating pain. The study synthesizes findings from existing research and clinical trials to assess the efficacy of immersive VR in orthopaedics. The results indicate that immersive VR simulations can significantly enhance surgical competence by providing a realistic and interactive environment, thereby minimizing errors and optimizing overall performance. Furthermore, VR-based rehabilitation programs can facilitate motor skill acquisition, functional recovery, and patient compliance through virtual embodiment, motor imagery, and simulated training exercises. Additionally, VR technology has the potential to transform pain management by offering a non-pharmacological, non-invasive alternative that leverages distraction, anxiety reduction, and virtual-body transformations to mitigate pain perception. In conclusion, immersive virtual reality technology exhibits considerable potential in orthopaedics, with promising applications in surgical training, patient rehabilitation, and pain management, although further investigation is necessary to fully harness its benefits."
"Design, development, and evaluation of educational virtual reality environment: EVRECA","""A plethora of investigations have explored the integration of virtual reality (VR) technologies and environments in educational settings over the past few years. However, a significant number of scholars have highlighted the limitations of research that examines the educational process within VR environments from a comprehensive viewpoint. This study aimed to address this gap by designing, developing, and testing an educational VR environment grounded in a multifaceted design model encompassing pedagogical, design, and technical considerations. Employing an educational design research methodology, the study was structured around a two-meso cycle framework. The research involved the development of an educational VR campus platform, which provided a competency-based learning environment for students. The Internet of Things training program was conducted in a single session with each participant. The findings indicated that the training facilitated learning at both cognitive and skill levels, with knowledge acquired in the VR environment transferable to real-life situations and yielding a lasting impact. Additionally, the study revealed an inverse correlation between participants' sense of presence and cognitive load, as well as a positive correlation between sense of presence and pleasure and arousal levels. Furthermore, the technical specifications of the platform, including frames per second, latency, draw call, and polygon count, were found to have a profound influence on the overall VR experience."""
Virtual reality evaluation of the spatial learning strategies in gamers,"Conventional assessments of psychological memory have long been rooted in traditional paper-based approaches, but the advent of virtual reality technologies, including adaptations of laboratory tests used with animals, has unlocked innovative avenues for examining and enhancing attentional and mnemonic processes. The influence of immersive virtual settings on spatial memory remains a contentious issue, sparking ongoing deliberation. To inform this discourse, we undertook an exhaustive investigation with two overarching goals. Firstly, we sought to create a virtual reality instrument capable of accurately evaluating navigational tactics employed by gamers within virtual realms. To accomplish this, we crafted a virtual aquatic labyrinth inspired by its animal research counterparts. Secondly, we conducted a cross-sectional analysis involving participants to examine the evolution of spatial memory strategies in response to increasing gaming proficiency within virtual environments. Our findings indicated that participants with greater gaming experience demonstrated accelerated and more precise learning within the virtual aquatic labyrinth, accompanied by enhanced search strategies. Furthermore, our study enabled the evaluation of our software and facilitated the tracking of changes in the effectiveness of learning strategies over time. Ultimately, this study underscores the vast potential of virtual environments for both evaluative and cognitive enhancement purposes."
Adaptation of virtual reality interfaces to psychological diagnosis and medical rehabilitation applications,"""The optimization of virtual reality interfaces for psychological assessment and medical rehabilitation purposes is tackled by introducing a novel system that leverages computer vision to track users' emotional states and levels of immersion. A case in point is the adaptation of a rehabilitation protocol that utilizes head movement and facial expression analysis. While integrating these adaptive virtual reality interfaces may add a layer of intricacy to the development of software and hardware for psychological and medical applications, it ultimately broadens their applicability by enabling more precise and data-driven targeted interventions."""
Investigating Educators’ and Students’ Perspectives on Virtual Reality Enhanced Teaching in Preschool,"Advances in technology have brought innovative resources, including immersive virtual reality, into the educational arena. Despite its promising potential and adoption by some schools globally, the views, preferences, and challenges of students and educators regarding this technology, particularly in the context of early childhood education, remain largely unknown. This investigation aims to: (a) examine the inclinations of 175 children aged 3-6 towards traditional instruction versus virtual reality-enriched learning, and (b) gather insights from educators on the application of virtual reality technology. This assessment was conducted in 12 Greek preschool settings, employing a mixed-methods approach that combined quantitative and qualitative data collection techniques. Semi-structured interviews with participating educators focused on two key dimensions: (a) the motivational and engaging aspects of virtual reality activities for young learners, and (b) the opportunities and hurdles of integrating virtual reality into real-world classrooms. Custom-designed questionnaires were used to gather quantitative data, which was subsequently strengthened through bootstrapping with 1000 samples. The analysis revealed a statistically significant preference among students for virtual reality-enhanced instruction over traditional methods, with notable differences observed according to gender. Furthermore, educators' responses and comments highlighted initial difficulties, but ultimately, virtual reality was deemed an effective educational tool. However, concerns were raised regarding its ability to foster cooperative skills in young children."
NestedChain: “Blockchain-inside-a-Blockchain” new generation prototype,"""Innovative blockchain architectures, tailored for both academic and industrial settings, prioritize advancements in security and energy efficiency. Notably, current solutions rely on a single data type tied to a solitary blockchain. This paper introduces NestedChain, a novel paradigm that enables the coexistence of two disparate data categories within a unified physical framework, effectively nesting one blockchain within another. This groundbreaking design can be seamlessly integrated into diverse environments requiring the simultaneous management of two distinct, parallel information sets within a shared infrastructure. By rethinking the constraints of existing blockchain implementations, this concept paves the way for a more sophisticated and enhanced blockchain ecosystem."""
Advancements in scalability of blockchain infrastructure through IPFS and dual blockchain methodology,"The burgeoning appeal of blockchain technology stems from its impregnable security architecture, rendering it an ideal fit for diverse domains, including digital currencies, medical records management, logistics oversight, and asset governance. Despite its widespread adoption, however, the limitations and vulnerabilities inherent to blockchain technology have received scant attention from researchers. This study delves into the primary constraints of blockchain technology, specifically its throughput and storage capacity bottlenecks. To overcome these hurdles, we propose a novel blockchain framework that prioritizes speed and storage efficiency while preserving the core security features and integrity of the technology. By integrating the dual blockchain paradigm with the Interplanetary File System (IPFS), we can significantly boost the transaction capacity of individual blocks, thereby enhancing overall throughput and mitigating storage demands. The strategic deployment of IPFS enables us to bypass storage constraints and amplify transaction processing capabilities. Our real-time implementation yields substantial gains in throughput and reductions in storage requirements, rendering our system suitable for both cryptocurrency and real-world applications."
Evolution of blockchain consensus algorithms: a review on the latest milestones of blockchain consensus algorithms,"The proliferation of blockchain technology in recent times can be attributed to its capacity to facilitate trustworthy and open data management and exchange. A pivotal component of this technology is the employment of consensus mechanisms, which enable dispersed network nodes to converge on a unified view of the blockchain's status. This review delves into an examination of diverse consensus mechanisms utilized in blockchain frameworks, encompassing proof-of-work, proof-of-stake, and hybrid methodologies. We scrutinize the compromises and considerations involved in selecting a consensus mechanism, including ecological sustainability, decentralization, and security assurances. Furthermore, we assess the advantages and disadvantages of each mechanism, as well as their potential influence on the scalability and widespread acceptance of blockchain technology."
Kickstarting blockchain: designing blockchain-based tokens for equity crowdfunding,"""Novel digital assets built on blockchain technology aim to alleviate the inefficiencies and lack of transparency inherent in traditional corporate financing mechanisms, particularly in the realms of early-stage funding and equity-based crowdfunding. Although Initial Coin Offerings and Security Token Offerings have attempted to address these issues, nascent companies continue to encounter obstacles in leveraging blockchain as a viable alternative for equity financing. Consequently, the concept of blockchain-based equity tokens remains largely theoretical. Furthermore, existing literature fails to provide a comprehensive framework for the creation and implementation of such tokens. This study addresses this knowledge gap by designing, developing, and testing a prototype for equity tokens in crowdfunding, adhering to the principles of design science research. Our findings yield a refined crowdfunding paradigm and seven fundamental design principles that contribute to the theoretical foundation of equity tokens, demonstrating that blockchain-based equity tokens can enhance efficiency, transparency, and interoperability while satisfying regulatory requirements and facilitating secondary market liquidity."""
A scalable blockchain storage scheme for VANET,"The advent of intelligent transportation systems (ITSs) has paved the way for innovative applications like autonomous vehicles, advanced safety features, and smart urban infrastructure. At the heart of ITSs lies vehicular ad-hoc networks (VANETs), which play a crucial role in enhancing traffic safety, driving comfort, and overall experience. However, the open nature of VANETs and the sensitivity of transmitted data, including vehicle control commands and driving records, pose significant security risks. While blockchain technology offers a promising solution with its decentralized, immutable, and transparent characteristics, most existing blockchain systems are resource-intensive, making them incompatible with the limited storage and computing capacities of VANET terminals, such as road-side units, on-board units, and sensors. To address this challenge, this paper presents a novel blockchain system designed specifically for VANETs, featuring a scalable storage architecture that leverages network sharding and multi-consensus strategies to optimize topology and consensus processes. By introducing a collaborative storage mechanism and dynamic ledger replication strategy, the proposed system significantly reduces storage requirements for participating nodes, enabling even resource-constrained VANET terminals to contribute to blockchain maintenance and ensuring the secure, private, and trustworthy sharing of road traffic information."
Blockchain-Technologie im Supply Chain Management – Anwendungspotenziale und Kompetenzlücken,"""Companies and application-oriented research attribute immense potential to blockchain technology across various sectors. The deployment of blockchain technology in supply chain management appears particularly promising, as it can enhance efficiency, transparency, and trust among diverse stakeholders throughout the entire supply chain. A crucial success factor for introducing and operating productive blockchain solutions lies in adequate competence management, ensuring that employees possess the necessary skills and knowledge. While existing competence frameworks encompass a range of digital skills, they currently fail to address dedicated competencies for blockchain technology deployment. This gap is addressed in this contribution, which identifies blockchain technology's application potential in supply chain management following a brief introduction and overview. A competence framework for blockchain-based supply chain management is then developed, and competence gaps in practice are highlighted, along with recommendations for companies and a concluding reflection."""
Blockchain-Enabled land management systems,"""A robust land registration framework is essential for a revenue department, as it serves as a repository of land ownership information. However, traditional paper-based systems, often housed in central locations, are susceptible to tampering and plagued by inefficiencies, opacity, and single-point failures, which can lead to corruption and disputes. The emergence of Blockchain technology offers a promising solution to address these vulnerabilities by ensuring the integrity and security of land records, thereby preventing fraudulent activities, data manipulation, and human errors. This study investigates the nexus between Blockchain technology and land administration systems, highlighting the limitations of current centralized systems and exploring the advantages of Blockchain-based land management systems. A comprehensive analysis of existing solutions and their drawbacks is presented, along with an examination of the challenges and future directions in harnessing Blockchain technology for efficient land management."""
Olympus: a GDPR compliant blockchain system,"Across various industries, blockchain technology has garnered substantial attention, yet it also presents notable hurdles, particularly with regard to safeguarding sensitive information. Following the European Union's introduction of the General Data Protection Regulation (GDPR), companies globally have revamped their approach to handling personal data. This project develops and implements a blockchain-based system for storing personal data in compliance with GDPR regulations. We assess the benefits and drawbacks of this system, which leverages Hyperledger Fabric as the blockchain framework, Interplanetary File System for off-chain data storage, and a Django REST API to facilitate interactions between the blockchain and distributed file system. The Olympus system accommodates four distinct roles: Data Subjects, Data Processors, Data Controllers, and the Supervisor Authority, which, although not an explicit role, is responsible for conducting all GDPR-mandated verifications. Ultimately, our findings suggest that it is feasible to design a system that surmounts the primary challenges associated with storing personal data on a blockchain (namely, the Right to be Forgotten and Right to Rectification), while preserving its desirable attributes (auditability, verifiability, tamper resistance, and decentralization)."
