Title,Abstract
Brief Report: Virtual Reality to Raise Awareness About Autism,"PurposeThe purpose of the study was to develop and test a virtual reality application designed to put the participants “in the shoes” of an autistic person during a routine task.MethodThe study involved a randomized controlled trial that included 103 participants recruited from a technical college. Each participant responded to three questionnaires to measure attitudes, knowledge, and openness toward autism. Prior to responding to these questionnaires, the participants in the experimental group also completed an 8-min virtual reality simulation designed by the research team in collaboration with autistic individuals.ResultsThe participants who completed the virtual reality simulation reported better attitudes, more knowledge, and higher openness toward autism than the participants in the control group.ConclusionThe results of the study suggest that virtual reality simulations are promising tools to raise awareness about autism."
Towards Education 4.0 in Geotechnical Engineering Using a Virtual Reality/Augmented Reality Visualization Platform,"Education 4.0 can play a significant role in the future of geotechnical engineering education. It can provide personalized and equitable learning experiences and be used to develop skills for the fourth industrial revolution in geotechnical engineering. In this paper, we explore the application of Augmented Reality (AR) and Virtual Reality (VR) models, as part of Education 4.0, to enhance the presentation and communication of soil mechanics concepts. A detailed step-by-step process for creating 3D representations of geotechnical concepts, including texturing, UV mapping, animation, and export and publishing techniques, is introduced. For this purpose, two powerful 3D modeling and animation software programs, Autodesk Maya and Blender, are employed to develop geotechnical avatars in a soil mechanics laboratory. In Autodesk Maya, a detailed representation of the soil phase diagram is presented, while Blender is utilized to create a Consolidated Undrained (CU) triaxial laboratory experiment. The geotechnical testing avatars are then uploaded to Sketchfab, a popular publishing website that supports AR/VR formats. We also explore the potential for establishing a virtual laboratory for geotechnical engineering, highlighting the transformative possibilities it offers in terms of practical learning experiences and educational accessibility."
"Lightness constancy in reality, in virtual reality, and on flat-panel displays","Virtual reality (VR) displays are being used in an increasingly wide range of applications. However, previous work shows that viewers often perceive scene properties very differently in real and virtual environments and so realistic perception of virtual stimuli should always be a carefully tested conclusion, not an assumption. One important property for realistic scene perception is surface color. To evaluate how well virtual platforms support realistic perception of achromatic surface color, we assessed lightness constancy in a physical apparatus with real lights and surfaces, in a commercial VR headset, and on a traditional flat-panel display. We found that lightness constancy was good in all three environments, though significantly better in the real environment than on the flat-panel display. We also found that variability across observers was significantly greater in VR and on the flat-panel display than in the physical environment. We conclude that these discrepancies should be taken into account in applications where realistic perception is critical but also that in many cases VR can be used as a flexible alternative to flat-panel displays and a reasonable proxy for real environments."
Exploratory analysis of the effectiveness of virtual reality in cardiovascular rehabilitation,"Virtual reality therapy has been shown to be effective in coping with psychological disorders accompanied by cardiovascular disease. Age appears to be a factor that can affect the effectiveness of psychological therapy in a virtual environment. Therefore, the aim of the study was to explore whether there are age-related differences in the effectiveness of reducing levels of depression and anxiety during a virtual reality psychological intervention implemented for rehabilitation. The study included 25 younger (< 65 years) and 25 older (65 +) patients with cardiovascular disease who participated in virtual reality therapy to cope with anxiety and depression. The Hospital Anxiety and Depression Scale was used to assess anxiety and depressive disorders before and after intervention. Significant reductions in anxiety and depression scores after intervention were observed in both age-matched groups, and no significant differences were found between the younger and older participants. Further evaluation of patient age as a predictor of the effectiveness of psychological intervention in virtual reality did not show a significant effect of age on effectiveness in reducing anxiety and depressive disorders. The results obtained suggest that older patients benefit similarly to younger patients from psychological intervention in a virtual environment. Furthermore, age does not appear to be considered a predictor of effectiveness in reducing the level of anxiety and depression in patients with cardiovascular disease using virtual reality therapy."
Designing for collaborative learning in immersive virtual reality: a systematic literature review,"Immersive learning technologies such as virtual reality have long been deemed as the next generation of digital learning environments. There is a limited number of studies addressing how immersive technologies can be designed, applied, and studied in collaborative learning settings. This paper presents a systematic review of empirical studies reporting on use of immersive virtual reality in collaborative learning within educational and professional learning settings. 11 studies have been grouped and coded in a textual narrative synthesis, outlining the pedagogical concepts behind the learning design, as well as the design of virtual reality environments and the collaborative learning activities in which the technology is employed. The results suggest that collaborative learning in virtual reality can currently be conceptualised as a shared experience in an immersive, virtually mediated space, where there is a shared goal/problem which learners must attend to collaboratively. This conceptualisation implies a need to design technologies, environments, and activities that support participation and social interaction, fostering collaborative learning processes. Based on the outlined conceptualisation, we present a series of recommendations for designing for collaborative learning in immersive virtual reality. The paper concludes that collaborative learning in virtual reality creates a practice- and reflection space, where learning is perceived as engaging, without the risk of interfering with actual practices. Current designs however struggle with usability, realism, and facilitating social interaction. The paper further identifies a need for future research into what happens within virtual reality, rather than only looking at post-virtual reality evaluations."
Implementation of virtual reality in healthcare: a scoping review on the implementation process of virtual reality in various healthcare settings,"BackgroundVirtual reality (VR) is increasingly used in healthcare settings as recent technological advancements create possibilities for diagnosis and treatment. VR is a technology that uses a headset to simulate a reality in which the user is immersed in a virtual environment, creating the impression that the user is physically present in this virtual space. Despite the potential added value of virtual reality technology in healthcare, its uptake in clinical practice is still in its infancy and challenges arise in the implementation of VR. Effective implementation could improve the adoption, uptake, and impact of VR. However, these implementation procedures still seem to be understudied in practice. This scoping review aimed to examine the current state of affairs in the implementation of VR technology in healthcare settings and to provide an overview of factors related to the implementation of VR.MethodsTo give an overview of relevant literature, a scoping review was undertaken of articles published up until February 2022, guided by the methodological framework of Arksey and O’Malley (2005). The databases Scopus, PsycINFO, and Web of Science were systematically searched to identify records that highlighted the current state of affairs regarding the implementation of VR in healthcare settings. Information about each study was extracted using a structured data extraction form.ResultsOf the 5523 records identified, 29 were included in this study. Most studies focused on barriers and facilitators to implementation, highlighting similar factors related to the behavior of adopters of VR and the practical resources the organization should arrange for. However, few studies focus on systematic implementation and on using a theoretical framework to guide implementation. Despite the recommendation of using a structured, multi-level implementation intervention to support the needs of all involved stakeholders, there was no link between the identified barriers and facilitators, and specific implementation objectives or suitable strategies to overcome these barriers in the included articles.ConclusionTo take the implementation of VR in healthcare to the next level, it is important to ensure that implementation is not studied in separate studies focusing on one element, e.g., healthcare provider-related barriers, as is common in current literature. Based on the results of this study, we recommend that the implementation of VR entails the entire process, from identifying barriers to developing and employing a coherent, multi-level implementation intervention with suitable strategies. This implementation process could be supported by implementation frameworks and ideally focus on behavior change of stakeholders such as healthcare providers, patients, and managers. This in turn might result in increased uptake and use of VR technologies that are of added value for healthcare practice."
Virtual and augmented reality in biomedical engineering,"In the future, extended reality technology will be widely used. People will be led to utilize virtual reality (VR) and augmented reality (AR) technologies in their daily lives, hobbies, numerous types of entertainment, and employment. Medical augmented reality has evolved with applications ranging from medical education to picture-guided surgery. Moreover, a bulk of research is focused on clinical applications, with the majority of research devoted to surgery or intervention, followed by rehabilitation and treatment applications. Numerous studies have also looked into the use of augmented reality in medical education and training.MethodsUsing the databases Semantic Scholar, Web of Science, Scopus, IEEE Xplore, and ScienceDirect, a scoping review was conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) criteria. To find other articles, a manual search was also carried out in Google Scholar. This study presents studies carried out over the previous 14 years (from 2009 to 2023) in detail. We classify this area of study into the following categories: (1) AR and VR in surgery, which is presented in the following subsections: subsection A: MR in neurosurgery; subsection B: spine surgery; subsection C: oral and maxillofacial surgery; and subsection D: AR-enhanced human-robot interaction; (2) AR and VR in medical education presented in the following subsections; subsection A: medical training; subsection B: schools and curriculum; subsection C: XR in Biomedicine; (3) AR and VR for rehabilitation presented in the following subsections; subsection A: stroke rehabilitation during COVID-19; subsection B: cancer and VR, and (4) Millimeter-wave and MIMO systems for AR and VR.ResultsIn total, 77 publications were selected based on the inclusion criteria. Four distinct AR and/or VR applications groups could be differentiated: AR and VR in surgery (N = 21), VR and AR in Medical Education (N = 30), AR and VR for Rehabilitation (N = 15), and Millimeter-Wave and MIMO Systems for AR and VR (N = 7), where N is number of cited studies. We found that the majority of research is devoted to medical training and education, with surgical or interventional applications coming in second. The research is mostly focused on rehabilitation, therapy, and clinical applications. Moreover, the application of XR in MIMO has been the subject of numerous research.ConclusionExamples of these diverse fields of applications are displayed in this review as follows: (1) augmented reality and virtual reality in surgery; (2) augmented reality and virtual reality in medical education; (3) augmented reality and virtual reality for rehabilitation; and (4) millimeter-wave and MIMO systems for augmented reality and virtual reality."
An immersive virtual reality learning environment with CFD simulations: Unveiling the Virtual Garage concept,"Virtual reality has become a significant asset to diversify the existing toolkit supporting engineering education and training. The cognitive and behavioral advantages of virtual reality (VR) can help lecturers reduce entry barriers to concepts that students struggle with. Computational fluid dynamics (CFD) simulations are imperative tools intensively utilized in the design and analysis of chemical engineering problems. Although CFD simulation tools can be directly applied in engineering education, they bring several challenges in the implementation and operation for both students and lecturers. In this study, we develop the “Virtual Garage” as a task-centered educational VR application with CFD simulations to tackle these challenges. The Virtual Garage is composed of a holistic immersive virtual reality experience to educate students with a real-life engineering problem solved by CFD simulation data. The prototype is tested by graduate students (n = 24) assessing usability, user experience, task load and simulator sickness via standardized questionnaires together with self-reported metrics and a semi-structured interview. Results show that the Virtual Garage is well-received by participants. We identify features that can further leverage the quality of the VR experience with CFD simulations. Implications are incorporated throughout the study to provide practical guidance for developers and practitioners."
Virtual reality headsets for perimetry testing: a systematic review,"Standard automated perimetery is considered the gold standard for evaluating a patient’s visual field. However, it is costly and requires a fixed testing environment. In response, perimetric devices using virtual reality (VR) headsets have emerged as an alternative way to measure visual fields in patients. This systematic review aims to characterize both novel and established VR headsets in the literature and explore their potential applications within visual field testing. A search was conducted using MEDLINE, Embase, CINAHL, and the Core Collection (Web of Science) for articles published until January 2023. Subject headings and keywords related to virtual reality and visual field were used to identify studies specific to this topic. Records were first screened by title/abstract and then by full text using predefined criteria. Data was extracted accordingly. A total of 2404 records were identified from the databases. After deduplication and the two levels of screening, 64 studies describing 36 VR headset perimetry devices were selected for extraction. These devices encompassed various visual field measurement techniques, including static and kinetic perimetry, with some offering vision rehabilitation capabilities. This review reveals a growing consensus that VR headset perimetry devices perform comparably to, or even better than, standard automated perimetry. They are better tolerated by patients in terms of gaze fixation, more cost-effective, and generally more accessible for patients with limited mobility."
Immersive virtual reality in orthopaedics—a narrative review,"This narrative review explores the applications and benefits of immersive virtual reality (VR) in orthopaedics, with a focus on surgical training, patient functional recovery, and pain management.MethodsThe review examines existing literature and research studies on immersive VR in orthopaedics, analyzing both experimental and clinical studies.ResultsImmersive VR provides a realistic simulation environment for orthopaedic surgery training, enhancing surgical skills, reducing errors, and improving overall performance. In post-surgical recovery and rehabilitation, immersive VR environments can facilitate motor learning and functional recovery through virtual embodiment, motor imagery during action observation, and virtual training. Additionally VR-based functional recovery programs can improve patient adherence and outcomes. Moreover, VR has the potential to revolutionize pain management, offering a non-invasive, drug-free alternative. Virtual reality analgesia acts by a variety of means including engagement and diverting patients’ attention, anxiety reduction, and specific virtual-body transformations.ConclusionImmersive virtual reality holds significant promise in orthopaedics, demonstrating potential for improved surgical training, patient functional recovery, and pain management but further research is needed to fully exploit the benefits of VR technology in these areas."
"Design, development, and evaluation of educational virtual reality environment: EVRECA","Numerous studies have been carried out in recent years on the use of virtual reality (VR) technologies and environments in education. On the other hand, many researchers have drawn attention to the inadequacy of studies that deal with the education process in virtual reality environments from a broad perspective. In this research, the process of designing, developing, and testing an educational virtual reality environment in the light of a design model that includes pedagogical, design, and technical steps have been experienced and reported with a holistic perspective. The study was carried out in a two meso cycle structure based on the educational design research methodology. In the scope of research, the educational virtual reality campus platform has been developed to provide a skill-based educational environment for learners. The Internet of Things training process in the platform was held in a single session with each participant. At the end of the practices, it has been seen that the training carried out on the platform can provide learning at both cognitive and skill levels; the knowledge learned in the virtual reality environment can be transferred to real life and has a lasting effect. Furthermore, it was determined that there was a reverse relationship between the participants’ sense of presence and their cognitive load, and there was a positive relationship between the participants’ sense of presence and their pleasure and arousal levels. It has been concluded that technical data such as frames per second, latency, draw call, and polygon count provided by the platform can have a remarkable effect on the VR experience."
Virtual reality evaluation of the spatial learning strategies in gamers,"Psychological memory tests have traditionally relied on paper-based methods. However, the emergence of virtual reality tools, including adaptations of animal lab tests, has opened up new possibilities for evaluating and enhancing attention and memory processes. The impact of virtual environments on spatial memory remains a topic of ongoing debate. To contribute to this discussion, we conducted a comprehensive study with two primary objectives. Firstly, we aimed to develop a virtual reality tool that could effectively assess search strategies in gamers within virtual environments. To achieve this, we designed a virtual water maze inspired by those used in animal research. Secondly, we conducted a cross-sectional study involving participants to analyze how spatial memory strategies evolve in a virtual environment with increasing gaming experience. The results revealed that participants with more gaming experience exhibited faster and more precise learning in the virtual water maze, along with improved search strategies. Additionally, our study allowed for the evaluation of our software and enabled us to track changes in the efficacy of learning strategies. Overall, this study emphasizes the potential of virtual environments for both evaluation and cognitive stimulation purposes."
Adaptation of virtual reality interfaces to psychological diagnosis and medical rehabilitation applications,"The challenge of increasing the efficiency of virtual reality interfaces in psychological diagnostic and medical rehabilitation applications is addressed. Implementation of a system for external monitoring of the psychoemotional state of users and monitoring the depth of their immersion based on computer vision technologies is proposed. As an illustrative example, adaptation of a rehabilitation procedure based on monitoring head movements and facial activity is described. Implementation of means for adapting virtual reality user interfaces produces some increase in the complexity of developing software and hardware for psychological diagnostic and medical rehabilitation systems, but at the same time expands the scope of their application due to more correct and evidence-based targeted use."
Investigating Educators’ and Students’ Perspectives on Virtual Reality Enhanced Teaching in Preschool,"Recent developments in technology have introduced new tools, such as virtual reality, into the learning process. Although virtual reality appears to be a promising technology for education and has been adopted by a few schools worldwide, we still do not know students’ and educators’ opinions, preferences, and challenges with it, particularly in relation to preschool education. Therefore, this study: (a) analyzes the preferences of 175 children aged 3 to 6 years regarding traditional teaching compared to enhanced teaching with virtual reality and (b) captures educators’ perspectives on virtual reality technology. This evaluation of virtual reality took place in 12 Greek preschool classrooms. A combination of quantitative and qualitative methods were used for data collection. Specifically, regarding the qualitative data collection, the study included semi-structured interviews with the participating educators, oriented by 2 axes: (a) preschoolers’ motivation and engagement in virtual reality activities, and (b) virtual reality technology prospects and difficulties as an educational tool in a real class. Regarding the quantitative data collection, specially designed questionnaires were used. Bootstrapping was utilized with 1000 samples to strengthen the statistical analysis. The analysis of the students’ responses indicated a statistically significant difference in preference in favor of virtual reality enhanced teaching compared to a traditional method. Statistically significant differences were also observed regarding gender. Furthermore, based on the educators’ answers and comments, difficulties were encountered initially but eventually, virtual reality was regarded as an effective approach for educational purposes. However, concerns arose among educators as to whether this technology could adequately promote preschoolers’ cooperative skills."
NestedChain: “Blockchain-inside-a-Blockchain” new generation prototype,"New developments of blockchain designs, for both research and commercial environments, focus on improving security and energy consumption. Indeed, these implementations are based on managing a single type of information linked to a single blockchain. In this paper, we propose a new design called NestedChain. This proposal creates a system that allows two completely different types of information to be held in the same physical structure, enabling the creation of a blockchain within a blockchain. The new blockchain design can be implemented in various environments where it is necessary to have two different and parallel sets of information in the same network infrastructure. This new conception of blockchain offers a new way to understand the limitations of existing implementations and suggests how the evolution of the blockchain environment could be enhanced."
Advancements in scalability of blockchain infrastructure through IPFS and dual blockchain methodology,"Blockchain technology has gained widespread popularity due to its robust security features, making it an attractive solution for various applications such as cryptocurrency, healthcare, supply chain management, and asset administration. However, limited research has been conducted on the limitations and security issues associated with blockchain technology. In this research article, we focus on the key limitations of blockchain technology, namely, throughput and storage optimization. In this work, we address these issues by designing a faster and less storage-dependent blockchain system while maintaining the security and essential features of blockchain technology. By combining the dual blockchain concept with the Interplanetary File System (IPFS), a higher number of transactions can be accommodated within a single block. This leads to amplified throughput and diminished storage requirements. IPFS is harnessed to circumvent storage limitations and enhance overall transaction throughput. Our proposed system is implemented in real-time, resulting in significantly increased throughput and reduced storage requirements. Our findings demonstrate that this system is suitable for use in both cryptocurrencies and real-life applications."
Evolution of blockchain consensus algorithms: a review on the latest milestones of blockchain consensus algorithms,"Blockchain technology has gained widespread adoption in recent years due to its ability to enable secure and transparent record-keeping and data transfer. A critical aspect of blockchain technology is the use of consensus algorithms, which allow distributed nodes in the network to agree on the state of the blockchain. In this review paper, we examine various consensus algorithms that are used in blockchain systems, including proof-of-work, proof-of-stake, and hybrid approaches. We go over the trade-offs and factors to think about when choosing a consensus algorithm, such as energy efficiency, decentralization, and security. We also look at the strengths and weaknesses of each algorithm as well as their potential impact on the scalability and adoption of blockchain technology."
Kickstarting blockchain: designing blockchain-based tokens for equity crowdfunding,"Blockchain-based tokens seek to overcome the friction and opaqueness of the legacy financial infrastructure in the company funding process, particularly in the early-stage and equity crowdfunding domain. While Initial Coin Offerings and Security Token Offerings proposed a solution for crowdfunding, early-stage companies still face challenges in using blockchain as an alternative equity funding infrastructure. In this context, the idea of blockchain-based equity tokens remains hypothetical. In addition, the literature lacks design theory for the development and implementation of blockchain-based equity tokens. This research bridges this gap by designing, developing, and evaluating an equity token prototype for crowdfunding, following the design science research approach. We propose a refined crowdfunding model and derive seven design principles that contribute to the design theory of equity tokens. The research results show that blockchain-based equity tokens improve efficiency, transparency, and interoperability while meeting regulatory requirements and facilitating secondary market trading."
A scalable blockchain storage scheme for VANET,"Intelligent transportation systems (ITSs) make it possible for applications such as autonomous driving, active safety systems and smart cities. As the infrastructure of ITSs, vehicular ad-hoc network (VANET) plays a key role in ensuring traffic safety while improving driving experience and comfort. However, VANET faces many challenges as the network is exposed to the public and involves sensitive information such as vehicle control commands and driving records. Although blockchain technology can provide such features as decentralization, immutability, non-reliance on trust and traceability, most of the existing blockchain systems impose high storage and computing capacity requirements for participating nodes while terminals nodes in VANET, such as road-side units (RSUs), on-board units (OBUs) and sensors, usually have very limited storage and computing capacity. To solve this problem, this paper proposes a blockchain system that provides scalable storage capacity for VANETs. The proposed scheme uses network sharding and multi-consensus strategy to improve the topology and consensus process of the blockchain. Aimed at lowering the storage requirement on the RSU nodes that participate in the blockchain, a collaborative storage mechanism and a dynamic copy number strategy for the blockchain ledger is designed. Experimental results show that compared to existing schemes, the proposed scalable blockchain storage scheme can significantly lower the storage requirement for the blockchain nodes, thus making it possible for the nodes with limited storage capacity in VANET to participate in the maintenance of the blockchain to prevent the blockchain from drifting towards centralization, and support maximal sharing of road traffic information while ensuring the security, privacy and trustworthiness of information."
