Title,ParaphrasedAbstract
Brief Report: Virtual Reality to Raise Awareness About Autism,"ObjectiveThe objective of this research was to create and evaluate a virtual reality application aimed at enabling participants to experience the perspective of an autistic individual during a common task.ApproachA randomized controlled trial was conducted with 103 students from a technical college. Participants filled out three surveys assessing their attitudes, knowledge, and openness regarding autism. Before completing these surveys, those in the experimental group underwent an 8-minute virtual reality simulation, developed in partnership with autistic individuals.FindingsParticipants who engaged in the virtual reality simulation exhibited more positive attitudes, greater knowledge, and increased openness toward autism compared to those in the control group.ImplicationsThese findings indicate that virtual reality simulations can be effective tools for enhancing awareness and understanding of autism."
Towards Education 4.0 in Geotechnical Engineering Using a Virtual Reality/Augmented Reality Visualization Platform,"Geotechnical engineering education stands to benefit greatly from Education 4.0, which can offer tailored and fair learning opportunities while fostering skills relevant to the fourth industrial revolution. This study examines the utilization of Augmented Reality (AR) and Virtual Reality (VR) within Education 4.0 to improve the understanding and communication of soil mechanics principles. It outlines a comprehensive, step-by-step method for generating 3D visualizations of geotechnical concepts, detailing processes such as texturing, UV mapping, animation, and the techniques for export and publication. Two advanced 3D modeling and animation tools, Autodesk Maya and Blender, are used to create geotechnical avatars for a soil mechanics lab. Autodesk Maya is employed to produce an intricate representation of the soil phase diagram, while Blender is used to simulate a Consolidated Undrained (CU) triaxial test. These geotechnical avatars are then published on Sketchfab, a widely-used platform that supports AR/VR formats. Additionally, the paper discusses the potential creation of a virtual laboratory for geotechnical engineering, emphasizing the significant improvements it could bring to practical learning and educational inclusivity."
"Lightness constancy in reality, in virtual reality, and on flat-panel displays","Virtual reality (VR) displays are being employed across a growing array of applications. Research indicates, however, that there are often significant differences in how viewers perceive scenes in real versus virtual settings. Therefore, concluding that virtual stimuli offer realistic perception requires careful testing rather than assumptions. One key aspect for realistic scene perception is surface color. To assess how well VR platforms provide realistic perception of achromatic surface color, we measured lightness constancy using a physical setup with real lights and surfaces, a commercial VR headset, and a traditional flat-panel display. The results showed that lightness constancy was effective in all three settings, although it was notably superior in the real environment compared to the flat-panel display. Additionally, we observed greater variability among observers in both VR and the flat-panel display than in the physical environment. These findings suggest that such discrepancies should be considered in applications where accurate perception is crucial, but also highlight that VR can often serve as a versatile alternative to flat-panel displays and a reasonable stand-in for real environments."
Exploratory analysis of the effectiveness of virtual reality in cardiovascular rehabilitation,"Research indicates that virtual reality therapy can effectively help manage psychological disorders in individuals with cardiovascular disease. The effectiveness of such therapy in a virtual setting may be influenced by age. Consequently, this study aimed to assess whether there are age-related disparities in reducing depression and anxiety through virtual reality psychological interventions utilized for rehabilitation. The study involved 25 patients under 65 and 25 patients aged 65 and over, all diagnosed with cardiovascular disease, who underwent virtual reality therapy for anxiety and depression. Anxiety and depression levels were evaluated before and after the intervention using the Hospital Anxiety and Depression Scale. Notable declines in anxiety and depression scores post-intervention were observed in both age groups, with no significant differences between younger and older participants. Further analysis did not indicate that age impacts the effectiveness of virtual reality therapy in reducing anxiety and depressive disorders. The findings suggest that older patients benefit equally to their younger counterparts from virtual reality psychological interventions, and age should not be considered a predictor of the therapy's effectiveness in alleviating anxiety and depression in cardiovascular disease patients."
Designing for collaborative learning in immersive virtual reality: a systematic literature review,"Advanced digital learning environments are increasingly seen as the future, with immersive learning technologies like virtual reality at the forefront. However, research on the design, application, and study of these technologies in collaborative learning settings remains limited. This paper systematically reviews empirical studies that investigate the use of immersive virtual reality for collaborative learning in both educational and professional contexts. It categorizes and synthesizes 11 studies, highlighting the pedagogical principles underlying learning design, the creation of virtual reality environments, and the collaborative activities facilitated by this technology. The findings indicate that collaborative learning in virtual reality is currently viewed as a shared immersive experience in a digitally mediated space, where learners collaborate on a common goal or problem. This view necessitates the development of technologies, environments, and activities that enhance participation and social interaction, thereby supporting collaborative learning. Based on this conceptualization, the paper offers several recommendations for designing immersive virtual reality for collaborative learning. It concludes that virtual reality promotes an engaging learning experience, allowing for practice and reflection without disrupting real-world activities. However, current designs face challenges in terms of usability, realism, and fostering social interaction. The paper also emphasizes the need for future research to focus on the in-VR experience, rather than solely on post-VR evaluations."
Implementation of virtual reality in healthcare: a scoping review on the implementation process of virtual reality in various healthcare settings,"Background
The use of virtual reality (VR) in healthcare is on the rise, thanks to recent technological advancements that open up new avenues for diagnosis and treatment. VR employs a headset to immerse users in a simulated environment, making them feel as if they are physically present in that virtual space. Despite its promising potential in healthcare, the integration of VR into clinical practice remains in its early stages and faces several implementation challenges. Successful integration could enhance the adoption, utilization, and effectiveness of VR, but the implementation process is still under-explored in practical terms. This scoping review aimed to assess the current landscape of VR implementation in healthcare settings and identify factors that influence this process.

Methods
A scoping review of literature up to February 2022 was conducted, following the methodological guidelines of Arksey and O’Malley (2005). Databases including Scopus, PsycINFO, and Web of Science were systematically searched to find studies focused on the implementation of VR in healthcare. Data from each study were extracted using a structured form.

Results
Out of 5523 records, 29 were included in the analysis. Most studies examined the barriers and facilitators to implementation, identifying common factors related to adopter behavior and the organizational resources required. However, few studies addressed systematic implementation guided by theoretical frameworks. While the use of a structured, multi-level approach to meet stakeholder needs is recommended, no clear link between identified barriers, specific implementation objectives, and strategies to overcome these barriers was found in the reviewed articles.

Conclusion
Advancing VR implementation in healthcare requires a comprehensive approach, not fragmented studies focusing on single elements like healthcare provider-related barriers, which is prevalent in current literature. This study suggests that a holistic implementation framework should encompass the entire process—from identifying barriers to developing and deploying a coherent, multi-level intervention with effective strategies. This approach should leverage implementation frameworks and focus on behavior change among stakeholders such as healthcare providers, patients, and managers, potentially leading to an increased adoption and beneficial use of VR technologies in healthcare."
Virtual and augmented reality in biomedical engineering,"Looking ahead, it is anticipated that extended reality technology will see widespread adoption. Individuals will be encouraged to integrate virtual reality (VR) and augmented reality (AR) into their everyday activities, leisure pursuits, various forms of entertainment, and professional endeavors. The field of medical augmented reality has advanced, with applications ranging from educational purposes to image-guided surgeries. A significant portion of research is concentrated on clinical uses, predominantly focusing on surgical and interventional procedures, followed by rehabilitation and treatment applications. Additionally, numerous studies have investigated the role of augmented reality in medical education and training.

In order to conduct this scoping review, databases such as Semantic Scholar, Web of Science, Scopus, IEEE Xplore, and ScienceDirect were utilized, adhering to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. A manual search on Google Scholar was also performed to identify additional articles. This review comprehensively examines studies from the past 14 years (2009 to 2023). The research is categorized as follows: (1) AR and VR in surgery, detailed in subsections: A: MR in neurosurgery; B: spine surgery; C: oral and maxillofacial surgery; and D: AR-enhanced human-robot interaction; (2) AR and VR in medical education, detailed in subsections: A: medical training; B: schools and curriculum; C: XR in Biomedicine; (3) AR and VR for rehabilitation, detailed in subsections: A: stroke rehabilitation during COVID-19; B: cancer and VR; and (4) Millimeter-wave and MIMO systems for AR and VR.

Overall, 77 publications met the inclusion criteria, categorized into four groups: AR and VR in surgery (N = 21), AR and VR in medical education (N = 30), AR and VR for rehabilitation (N = 15), and Millimeter-wave and MIMO systems for AR and VR (N = 7), where N represents the number of studies cited. The findings reveal that most research is dedicated to medical training and education, with surgical or interventional applications being the second most prominent. The focus is primarily on rehabilitation, therapy, and clinical applications, with the application of XR in MIMO also being extensively researched.

In summary, this review showcases the diverse applications of AR and VR in the following domains: (1) surgery, (2) medical education, (3) rehabilitation, and (4) millimeter-wave and MIMO systems."
An immersive virtual reality learning environment with CFD simulations: Unveiling the Virtual Garage concept,"Virtual reality has emerged as a pivotal tool to broaden the repertoire supporting engineering education and training. The cognitive and behavioral benefits of VR assist educators in lowering the barriers to understanding challenging concepts for students. Computational fluid dynamics (CFD) simulations are critical instruments extensively used in the design and analysis of chemical engineering issues. Despite their direct applicability in engineering education, CFD simulation tools present numerous challenges in their implementation and operation for both students and instructors. This research introduces the ""Virtual Garage,"" a task-focused educational VR application incorporating CFD simulations to address these challenges. The Virtual Garage offers an all-encompassing immersive VR experience, educating students through a real-world engineering problem solved with CFD simulation data. The prototype was tested with graduate students (n=24), who evaluated usability, user experience, task load, and simulator sickness using standardized questionnaires along with self-reported metrics and a semi-structured interview. Findings indicate that the Virtual Garage is positively received by participants. We pinpoint features that can further enhance the quality of the VR experience incorporating CFD simulations. Practical recommendations for developers and practitioners are provided throughout the study."
Virtual reality headsets for perimetry testing: a systematic review,"Standard automated perimetry is widely regarded as the benchmark for assessing a patient's visual field. Nonetheless, it is expensive and necessitates a stationary testing setting. Consequently, virtual reality (VR) headset-based perimetric devices have been developed as an alternative method for evaluating visual fields in patients. This systematic review seeks to describe both innovative and established VR headsets discussed in the literature and examine their potential uses in visual field assessment. A thorough search was performed using MEDLINE, Embase, CINAHL, and the Core Collection (Web of Science) for articles available up to January 2023. Subject headings and keywords related to virtual reality and visual fields were employed to locate relevant studies. Titles and abstracts were initially screened, followed by full texts, based on pre-established criteria. Data were subsequently extracted. Out of 2404 records retrieved from the databases, 64 studies detailing 36 VR headset perimetry devices were chosen after deduplication and two screening rounds. These devices used various visual field measurement methods, including static and kinetic perimetry, and some also featured vision rehabilitation functions. This review identifies a growing agreement that VR headset perimetry devices perform on par with or superior to standard automated perimetry. They are better accepted by patients in terms of gaze fixation, more cost-effective, and typically more accessible for patients with limited mobility."
Immersive virtual reality in orthopaedics—a narrative review,"This narrative review investigates the uses and advantages of immersive virtual reality (VR) within the field of orthopaedics, concentrating on training for surgeries, functional recovery for patients, and the management of pain. The review analyzes existing literature and research concerning immersive VR in orthopaedics, including both experimental and clinical studies. Immersive VR delivers a realistic simulation environment that enhances orthopaedic surgical training by improving surgical skills, minimizing errors, and boosting overall performance. For post-surgical rehabilitation, immersive VR environments aid motor learning and functional recovery through virtual embodiment, motor imagery during action observation, and virtual training, leading to better patient adherence and outcomes. Additionally, VR offers a revolutionary approach to pain management, providing a non-invasive, drug-free alternative. VR-based pain relief operates through mechanisms such as patient engagement, distraction, anxiety reduction, and specific virtual-body transformations. In conclusion, immersive VR shows great promise in orthopaedics, demonstrating potential advancements in surgical training, patient recovery, and pain management, though additional research is needed to fully realize VR’s capabilities in these areas."
"Design, development, and evaluation of educational virtual reality environment: EVRECA","A multitude of investigations has been conducted in the recent past concerning the application of virtual reality (VR) technologies and settings in education. Nevertheless, several researchers have highlighted the insufficiency of studies addressing the educational process within virtual reality environments from a comprehensive standpoint. This study explores the design, development, and evaluation of an educational VR environment, guided by a model encompassing pedagogical, design, and technical phases, and reports the findings from a holistic viewpoint. The research followed an educational design research methodology structured in two meso cycles. Within the study's framework, an educational VR campus platform was created to offer a skill-based learning setting for students. The Internet of Things training on the platform was conducted in a single session per participant. Post-practice results indicated that training via the platform could facilitate learning at both cognitive and skill levels, enabling the transfer of knowledge acquired in the VR environment to real-world applications with lasting effects. Additionally, it was found that there is an inverse relationship between participants' sense of presence and cognitive load, and a positive correlation between their sense of presence and their levels of enjoyment and arousal. The research concluded that technical aspects such as frames per second, latency, draw call, and polygon count provided by the platform can significantly influence the VR experience."
Virtual reality evaluation of the spatial learning strategies in gamers,"Psychological assessments of memory have historically been conducted using paper-based techniques. Nevertheless, the advent of virtual reality applications, including adaptations of experiments originally designed for animal laboratories, has introduced new methods for assessing and improving attention and memory skills. The influence of virtual settings on spatial memory is still a subject of considerable debate. To add to this discourse, we performed an extensive study with two main goals. Firstly, our aim was to create a virtual reality application capable of effectively evaluating search strategies in gamers operating within virtual settings. For this purpose, we developed a virtual water maze modeled after those used in animal studies. Secondly, we implemented a cross-sectional analysis involving participants to examine the changes in spatial memory strategies as gaming experience increases in a virtual environment. The findings indicated that participants with greater gaming experience demonstrated faster and more accurate learning in the virtual water maze, along with enhanced search strategies. Moreover, our study facilitated the assessment of our software and enabled the monitoring of the evolution of learning strategy efficiency. In sum, this research highlights the potential of virtual environments for both evaluation and cognitive stimulation."
Adaptation of virtual reality interfaces to psychological diagnosis and medical rehabilitation applications,"The problem of enhancing the effectiveness of virtual reality interfaces in psychological assessments and medical rehabilitation is tackled. A system for externally monitoring users’ psychoemotional states and the extent of their immersion using computer vision technologies is suggested. An example includes adapting a rehabilitation process by tracking head movements and facial expressions. Integrating methods to adapt virtual reality user interfaces does complicate the development of software and hardware for psychological diagnostics and medical rehabilitation, but it simultaneously broadens the application range by enabling more accurate and evidence-based targeted use."
Investigating Educators’ and Students’ Perspectives on Virtual Reality Enhanced Teaching in Preschool,"Advancements in technology have brought forth innovative tools like virtual reality into educational environments. While virtual reality shows potential benefits for learning and has been adopted by some schools globally, the opinions, preferences, and challenges faced by students and educators, particularly in preschool settings, remain unclear. This investigation: (a) evaluates the preferences of 175 children aged 3 to 6 for conventional teaching versus instruction enhanced with virtual reality, and (b) collects educators’ viewpoints on virtual reality's role in education. The assessment took place in 12 preschool classrooms in Greece, employing both quantitative and qualitative data collection methods. For qualitative data, semi-structured interviews with the educators focused on two main areas: (a) the children’s engagement and motivation during virtual reality activities, and (b) the potential and challenges of virtual reality as an instructional tool. Quantitative data were gathered through specially designed questionnaires, and the statistical analysis was reinforced using bootstrapping with 1000 samples. The analysis showed a statistically significant preference for virtual reality-enhanced teaching over traditional methods among the students, with notable differences across genders. Educators noted initial challenges but ultimately considered virtual reality an effective educational tool. However, they voiced concerns about its effectiveness in fostering cooperative skills among preschoolers."
NestedChain: “Blockchain-inside-a-Blockchain” new generation prototype,"Emerging innovations in blockchain designs, targeting both research and commercial sectors, aim to enhance security and reduce energy consumption. These advancements typically manage a single type of data associated with one blockchain. In this study, we introduce NestedChain, a novel design that facilitates the storage of two distinct types of information within the same physical structure, effectively creating a blockchain within a blockchain. This new configuration can be utilized in environments where maintaining two separate yet concurrent sets of information within the same network infrastructure is required. This reimagined blockchain approach not only clarifies the constraints of current implementations but also indicates potential improvements for the future development of the blockchain landscape."
Advancements in scalability of blockchain infrastructure through IPFS and dual blockchain methodology,"Blockchain technology has become highly popular due to its strong security capabilities, making it a compelling choice for a variety of uses, such as digital currencies, healthcare, supply chain management, and asset management. Despite its popularity, there has been limited investigation into the constraints and security vulnerabilities of blockchain. This research paper aims to highlight the main drawbacks of blockchain technology, specifically throughput and storage efficiency. Our work tackles these challenges by developing a blockchain system that is both faster and less dependent on storage, while preserving the core security features. By integrating the dual blockchain model with the Interplanetary File System (IPFS), a greater volume of transactions can be processed within a single block. This results in enhanced throughput and reduced storage needs. Utilizing IPFS helps mitigate storage constraints and boosts the overall transaction rate. The proposed system is deployed in real-time, achieving significantly higher throughput and lower storage requirements, proving its effectiveness for both cryptocurrencies and practical applications."
Evolution of blockchain consensus algorithms: a review on the latest milestones of blockchain consensus algorithms,"In recent times, blockchain technology has seen extensive adoption because of its capability to ensure secure and transparent data recording and transfer. A vital component of blockchain systems is the use of consensus mechanisms, which enable distributed nodes within the network to concur on the blockchain's status. This review paper explores several consensus mechanisms employed in blockchain technologies, such as proof-of-work, proof-of-stake, and hybrid models. We discuss the trade-offs and considerations in selecting a consensus mechanism, including energy consumption, decentralization, and security. Additionally, we assess the advantages and disadvantages of each mechanism and their potential effects on blockchain technology's scalability and widespread adoption."
Kickstarting blockchain: designing blockchain-based tokens for equity crowdfunding,"Blockchain tokens aim to mitigate the inefficiencies and lack of transparency inherent in traditional financial structures during the company funding process, especially in the realms of early-stage investments and equity crowdfunding. Although Initial Coin Offerings (ICOs) and Security Token Offerings (STOs) have offered crowdfunding solutions, startups still encounter difficulties when employing blockchain for equity funding. Consequently, the concept of blockchain equity tokens remains speculative. Moreover, existing literature does not provide design theories for creating and implementing these tokens. This study addresses this gap by crafting, developing, and assessing a prototype for equity tokens in crowdfunding, utilizing the design science research methodology. We introduce an improved crowdfunding framework and establish seven design principles that enhance the theoretical foundation of equity tokens. The findings demonstrate that blockchain-based equity tokens boost efficiency, ensure transparency, and promote interoperability, all while complying with regulatory standards and supporting secondary market trading."
A scalable blockchain storage scheme for VANET,"Intelligent transportation systems (ITSs) enable technologies like autonomous driving, active safety systems, and smart cities. Vehicular ad-hoc network (VANET), as the backbone of ITSs, is crucial for traffic safety and enhancing driving comfort and experience. However, VANET encounters several challenges due to its public exposure and the sensitive nature of the information it handles, such as vehicle control commands and driving logs. While blockchain technology offers benefits like decentralization, immutability, trustlessness, and traceability, most current blockchain implementations demand substantial storage and computational power from participating nodes. This poses a problem for VANET's terminal nodes, such as road-side units (RSUs), on-board units (OBUs), and sensors, which typically have limited storage and computational capabilities. To address this issue, this paper presents a blockchain system designed to provide scalable storage capacity for VANETs. The proposed approach utilizes network sharding and a multi-consensus strategy to enhance the blockchain's topology and consensus process. A collaborative storage mechanism combined with a dynamic copy number strategy for the blockchain ledger is implemented to reduce the storage requirements on RSU nodes. Experimental results indicate that, compared to existing solutions, the proposed scalable blockchain storage scheme drastically reduces the storage demands on blockchain nodes, enabling those with limited storage capacity in VANET to participate in blockchain maintenance. This prevents the blockchain from becoming centralized and supports the extensive sharing of road traffic information while ensuring the security, privacy, and trustworthiness of the data."
Blockchain-Technologie im Supply Chain Management – Anwendungspotenziale und Kompetenzlücken,"Unternehmen und praxisorientierte Forschung sehen in der Blockchain-Technologie großes Potenzial in verschiedenen Branchen. Besonders vielversprechend erscheint die Anwendung von Blockchain im Bereich des Supply Chain Managements, da sie die Effizienz, Transparenz und das Vertrauen zwischen den verschiedenen Beteiligten entlang der gesamten Lieferkette verbessern kann. Ein entscheidender Erfolgsfaktor für die Einführung und den Betrieb effektiver Blockchain-Lösungen ist ein geeignetes Kompetenzmanagement, das sicherstellt, dass die Mitarbeiter über die erforderlichen Fähigkeiten und Kenntnisse verfügen. Obwohl bestehende Kompetenzrahmen eine Vielzahl digitaler Kompetenzen abdecken, berücksichtigen sie bisher keine speziellen Fähigkeiten für den Einsatz von Blockchain-Technologien. Dieses Manko wird in dem vorliegenden Beitrag behandelt, indem nach einer kurzen Einführung und Darstellung der Blockchain-Technologie deren Anwendungsmöglichkeiten im Supply Chain Management aufgezeigt werden. Daraufhin wird ein Kompetenzrahmen für blockchainbasiertes Supply Chain Management entwickelt. Abschließend werden bestehende Kompetenzlücken in der Praxis analysiert, Handlungsempfehlungen für Unternehmen vorgestellt und eine abschließende Betrachtung durchgeführt."
