Title,ParaphrasedAbstract
Brief Report: Virtual Reality to Raise Awareness About Autism,"This investigation aimed to construct and evaluate a virtual reality tool intended to immerse participants in the experience of an autistic individual during a commonplace activity. Employing a randomized controlled design, the study enrolled 103 individuals from a technical institution who completed three surveys assessing their perspectives, comprehension, and receptivity towards autism. Participants in the experimental arm also engaged in an 8-minute virtual reality simulation, collaboratively crafted by the research team and autistic individuals, prior to survey completion.  Findings revealed that individuals exposed to the virtual reality simulation demonstrated enhanced attitudes, knowledge, and openness towards autism compared to the control group. Consequently, the study posits that virtual reality simulations hold significant potential as instruments for fostering greater understanding and awareness of autism. 
"
Towards Education 4.0 in Geotechnical Engineering Using a Virtual Reality/Augmented Reality Visualization Platform,"The integration of Education 4.0 technologies holds immense potential for revolutionizing geotechnical engineering education. By tailoring learning experiences and equipping students with skills essential for the fourth industrial revolution, this approach promises to significantly enhance pedagogy. This study delves into the utilization of Augmented Reality (AR) and Virtual Reality (VR) models within the framework of Education 4.0 to enrich the conveyance of soil mechanics principles. A comprehensive, sequential methodology for generating 3D visualizations of geotechnical concepts is outlined, encompassing texturing, UV mapping, animation, and dissemination techniques. Leveraging the capabilities of two robust 3D modeling and animation software packages, Autodesk Maya and Blender, geotechnical avatars are meticulously crafted within a virtual soil mechanics laboratory setting. Autodesk Maya facilitates the intricate depiction of the soil phase diagram, while Blender is employed to simulate a Consolidated Undrained (CU) triaxial laboratory test. These geotechnical testing avatars are subsequently disseminated via Sketchfab, a widely recognized publishing platform compatible with AR/VR formats. Furthermore, the study examines the prospects of establishing a virtual laboratory environment for geotechnical engineering, emphasizing its transformative potential in delivering immersive practical learning experiences and fostering educational accessibility. 
"
"Lightness constancy in reality, in virtual reality, and on flat-panel displays","The expanding use of VR displays necessitates careful consideration of their ability to accurately depict reality. Research indicates discrepancies in scene perception between real and virtual environments, particularly concerning surface color. To investigate this, a study comparing lightness constancy across a physical setup, a commercial VR headset, and a standard flat-panel display revealed robust performance in all conditions, albeit superior in the physical realm compared to the flat-panel. Notably, inter-observer variability was heightened in both VR and flat-panel environments. These findings highlight the need for rigorous testing of perceptual realism in VR applications, yet also suggest its potential as a versatile substitute for flat-panel displays and a feasible approximation of real-world settings. 
"
Exploratory analysis of the effectiveness of virtual reality in cardiovascular rehabilitation,"Research suggests that virtual reality therapy can effectively address psychological distress in individuals with cardiovascular disease, but age may influence its impact. This study examined age-related differences in the effectiveness of VR therapy for anxiety and depression in 25 younger and 25 older cardiovascular patients.  Pre- and post-intervention assessments using the Hospital Anxiety and Depression Scale revealed significant symptom reduction in both age groups, with no statistically significant difference between them. Further analysis confirmed that age did not significantly predict the efficacy of VR therapy in alleviating anxiety and depression. These findings indicate that older patients experience similar benefits to younger patients from virtual reality-based psychological interventions, suggesting that age should not be a primary factor in considering the suitability of this therapeutic approach for cardiovascular patients struggling with anxiety and depression. 
"
Designing for collaborative learning in immersive virtual reality: a systematic literature review,"Cutting-edge technologies like virtual reality (VR) have been hailed as the future of digital education. However, research on designing, implementing, and evaluating VR for collaborative learning remains scarce. This review examines empirical studies on VR-supported collaborative learning in educational and professional contexts.  Eleven studies were analyzed, revealing pedagogical approaches, VR environment design, and collaborative activities. Findings suggest that collaborative VR learning involves shared experiences within immersive virtual spaces, where learners work together on common goals or challenges. This necessitates designing technologies, environments, and activities that promote participation, social interaction, and collaborative processes.  Based on this conceptualization, the paper offers recommendations for designing collaborative VR learning experiences. It concludes that VR provides a safe space for practice and reflection, engaging learners without real-world consequences.  However, current designs face challenges related to usability, realism, and fostering social interaction. The paper emphasizes the need for research that delves into the intricacies of VR interactions, going beyond post-experience evaluations. 
"
Implementation of virtual reality in healthcare: a scoping review on the implementation process of virtual reality in various healthcare settings,"The integration of virtual reality (VR) into healthcare is gaining momentum due to ongoing technological progress that opens new avenues for diagnosis and treatment. VR headsets immerse users in simulated environments, creating a sense of physical presence in the virtual world. However, despite its potential, VR implementation in clinical practice remains limited. This review examined existing research on VR implementation in healthcare, published before February 2022, across various databases. Out of a large pool of articles, 29 were deemed relevant. The majority concentrated on hurdles and enablers in implementation, emphasizing factors tied to user behavior and organizational resources.  However, research on systematic implementation and the use of theoretical frameworks is scarce. Although a structured, multi-level implementation approach is recommended to cater to all stakeholders, the studies lacked a connection between identified obstacles, implementation goals, and strategies to address these challenges. To advance VR integration in healthcare, research should move beyond examining isolated implementation aspects. This review suggests a comprehensive approach encompassing the entire implementation journey, from identifying barriers to designing and employing a cohesive, multi-level intervention with appropriate strategies. Implementation frameworks can support this process, focusing on behavioral changes among stakeholders like healthcare providers, patients, and administrators. This could ultimately lead to increased adoption and utilization of VR technologies that bring value to healthcare. 
"
Virtual and augmented reality in biomedical engineering,"The pervasive integration of extended reality (XR) technology, encompassing virtual reality (VR) and augmented reality (AR), into various facets of life, including work, leisure, and entertainment, is anticipated. The medical realm has witnessed a significant evolution in AR applications, spanning medical education to image-guided surgery.  A comprehensive scoping review, adhering to PRISMA guidelines, was undertaken using databases like Semantic Scholar, Web of Science, and others, supplemented by a manual Google Scholar search. This review, encompassing studies from 2009 to 2023, categorized AR and VR applications into four primary domains: surgical interventions, medical education, rehabilitation, and millimeter-wave and MIMO systems.  Analysis of the 77 selected publications revealed a predominance of research in medical training and education, followed by surgical applications. The emphasis on rehabilitation, therapy, and clinical applications was prominent, with considerable research exploring XR's role in MIMO systems.  This review showcases diverse applications of AR and VR, encompassing surgery, medical education, rehabilitation, and millimeter-wave and MIMO systems. 
"
An immersive virtual reality learning environment with CFD simulations: Unveiling the Virtual Garage concept,"Immersive virtual reality (VR) technologies are increasingly recognized as valuable tools for enhancing engineering education. VR's ability to influence cognition and behavior can be leveraged by educators to simplify complex concepts that students often find challenging. Computational fluid dynamics (CFD) simulations, while crucial for analyzing and designing chemical engineering solutions, pose considerable operational and implementation difficulties for both educators and learners. To address these obstacles, we have created ""Virtual Garage,"" an educational VR application centered around a real-world engineering challenge that utilizes CFD simulation data. This immersive experience provides students with a comprehensive understanding of the problem and its resolution. Graduate students (n=24) evaluated a prototype of the Virtual Garage, assessing its usability, user experience, task load, and simulator sickness through standardized questionnaires, self-reported measures, and semi-structured interviews. The Virtual Garage was favorably received by participants, and the study identifies areas for improvement to enhance the quality of the VR experience with CFD simulations. Practical guidance for developers and practitioners is provided throughout the study, highlighting the implications of integrating VR and CFD simulations in engineering education. 
"
Virtual reality headsets for perimetry testing: a systematic review,"While standard automated perimetry remains the benchmark for assessing patients' visual fields, its high cost and reliance on a stationary setting have spurred the development of virtual reality (VR) headset-based perimetric devices as a viable alternative. This systematic review sought to analyze both established and novel VR headsets described in scientific literature, investigating their potential for visual field assessment. A comprehensive search encompassing MEDLINE, Embase, CINAHL, and Web of Science's Core Collection yielded 2404 records published up to January 2023, using keywords and subject headings pertaining to both virtual reality and visual field testing.  After removing duplicates and conducting a two-stage screening process (title/abstract and full text) based on predetermined criteria, 64 studies detailing 36 distinct VR headset perimetry devices were ultimately selected for data extraction.  These devices utilized a range of visual field measurement techniques, including static and kinetic perimetry, with some even incorporating vision rehabilitation functionalities. This review highlights a growing body of evidence suggesting that VR headset perimetry devices demonstrate performance comparable to, if not exceeding, standard automated perimetry.  Furthermore, they offer improved patient tolerance regarding gaze fixation, greater cost-effectiveness, and enhanced accessibility for individuals with mobility limitations. 
"
Immersive virtual reality in orthopaedics—a narrative review,"This comprehensive analysis delves into the diverse applications and advantages of immersive virtual reality (VR) within the field of orthopaedics, emphasizing its utility in surgical education, patient rehabilitation, and pain alleviation. By meticulously examining existing literature and research, encompassing both experimental and clinical investigations, the review illuminates the profound impact of immersive VR. The technology offers a remarkably realistic simulated setting for orthopaedic surgical training, demonstrably enhancing surgical proficiency, diminishing errors, and elevating overall performance. In the realm of post-surgical recovery and rehabilitation, immersive VR environments serve as catalysts for motor learning and functional restoration through virtual embodiment, motor imagery evoked during action observation, and virtual training regimens. Notably, VR-based functional recovery programs exhibit the potential to bolster patient adherence and optimize outcomes. Furthermore, VR emerges as a revolutionary force in pain management, presenting a non-invasive, drug-free alternative to traditional methods. Virtual reality analgesia operates through a multifaceted approach, encompassing patient engagement and attention diversion, anxiety mitigation, and specific virtual-body transformations. While immersive virtual reality undeniably holds immense promise in orthopaedics, underscoring its potential to revolutionize surgical training, patient functional recovery, and pain management, further research is imperative to fully harness the benefits of this transformative technology. 
"
"Design, development, and evaluation of educational virtual reality environment: EVRECA","Recent research has extensively explored the integration of virtual reality (VR) in education, yet a gap exists in comprehensive studies examining the educational process within VR environments. This study aimed to address this gap by meticulously documenting the design, development, and evaluation of an educational VR environment based on a multifaceted model encompassing pedagogical, design, and technical aspects. Using an educational design research methodology with a two-cycle structure, the research culminated in the creation of a virtual reality campus platform designed to foster skill-based learning. Participants engaged in a single-session Internet of Things training within the platform, demonstrating that the VR-based training facilitated both cognitive and practical learning, with acquired knowledge transferable to real-world scenarios and exhibiting enduring effects.  The study also revealed an inverse correlation between the sense of presence and cognitive load experienced by participants, while a positive relationship was observed between presence, pleasure, and arousal.  Significantly, the research underscores the impact of technical parameters such as frames per second, latency, draw call, and polygon count on the overall VR experience. 
"
Virtual reality evaluation of the spatial learning strategies in gamers,"Cognitive memory assessments have historically depended on traditional paper-and-pencil approaches. However, the advent of virtual reality technology, encompassing adaptations of tests originally designed for animal research, has ushered in novel avenues for evaluating and augmenting attention and memory functions. The influence of immersive virtual environments on spatial memory remains a subject of active discussion. Contributing to this discourse, our research pursued two key goals. First, we sought to create a virtual reality instrument capable of effectively gauging search tactics employed by video game players within virtual settings. This objective led to the development of a virtual water maze, modeled after those used in animal studies. Second, we undertook a cross-sectional investigation, involving a diverse group of individuals, to examine how spatial memory strategies develop within a virtual environment as gaming experience accumulates. Our findings indicated that participants with greater gaming proficiency demonstrated swifter and more accurate learning within the virtual water maze, accompanied by enhanced search strategies. Moreover, our study facilitated the assessment of our software's capabilities and allowed us to monitor shifts in the effectiveness of learning strategies. In conclusion, this research underscores the significant potential of virtual environments for both assessment and cognitive enhancement purposes. 
"
Adaptation of virtual reality interfaces to psychological diagnosis and medical rehabilitation applications,"This research tackles the issue of enhancing the effectiveness of virtual reality interfaces within the domains of psychological diagnostics and medical rehabilitation. A system leveraging computer vision is presented, designed to externally track users' psychoemotional states and their level of immersion. The adaptation of a rehabilitative process, reliant on monitoring head movements and facial expressions, is delineated as a practical demonstration. While the integration of adaptable VR interfaces elevates the intricacy of software and hardware development for these systems, it concurrently broadens their applicability by enabling more precise and evidence-supported targeted interventions. 
"
Investigating Educators’ and Students’ Perspectives on Virtual Reality Enhanced Teaching in Preschool,"The integration of cutting-edge technologies like virtual reality (VR) into education holds immense potential, yet its practical implications in early childhood education remain largely unexplored. This study delves into the perceptions and experiences of both preschoolers and educators regarding VR-enhanced learning within 12 Greek preschools. A mixed-methods approach, encompassing questionnaires, semi-structured interviews, and robust statistical analysis, was employed. Findings reveal a notable predilection among children aged 3 to 6 for VR-integrated instruction over conventional methods, with gender-based preferences also emerging. While educators initially faced hurdles, they ultimately recognized VR's educational efficacy. Nevertheless, concerns persist regarding its capacity to foster collaborative skills among young learners. 
"
NestedChain: “Blockchain-inside-a-Blockchain” new generation prototype,"Recent advancements in blockchain architecture, spanning both academic and industrial spheres, prioritize enhanced security and reduced energy usage. Existing implementations, however, typically handle a single data type within a singular blockchain framework. In contrast, this article introduces NestedChain, an innovative design enabling the coexistence of two distinct data types within a unified physical structure, effectively establishing a ""blockchain within a blockchain."" This novel approach finds applicability across diverse environments requiring parallel yet distinct data sets within the same network, thereby offering a fresh perspective on the constraints of current blockchain implementations and potential avenues for future development. 
"
Advancements in scalability of blockchain infrastructure through IPFS and dual blockchain methodology,"The extensive adoption of blockchain technology stems from its robust security infrastructure, rendering it suitable for diverse applications including digital currencies, healthcare, logistics, and asset management. Despite its prevalence, research on the shortcomings and vulnerabilities of blockchain remains limited. This study delves into two primary constraints of blockchain: transaction processing capacity and storage efficiency. We propose a novel blockchain system that mitigates these issues by enhancing speed and reducing storage dependency while upholding security and core functionalities. Leveraging a dual blockchain architecture in conjunction with the Interplanetary File System (IPFS), our system allows for a greater volume of transactions within each block. This results in improved throughput and decreased storage demands. IPFS is employed to overcome storage limitations and bolster overall transaction processing speed.  The real-time implementation of our system showcases a significant increase in throughput and a reduction in storage requirements, suggesting its applicability for both cryptocurrencies and practical applications. 
"
Evolution of blockchain consensus algorithms: a review on the latest milestones of blockchain consensus algorithms,"Due to its capacity for secure and transparent data management and exchange, blockchain technology has experienced a surge in popularity in recent times. A core component of this technology is the implementation of consensus algorithms, which enable distributed network nodes to reach an agreement on the blockchain's state. This review paper delves into the diverse range of consensus algorithms employed in blockchain systems, encompassing proof-of-work, proof-of-stake, and hybrid models. We explore the inherent compromises and considerations involved in selecting a consensus algorithm, such as energy consumption, decentralization, and security. Furthermore, we analyze the advantages and disadvantages of each algorithm, alongside their potential influence on the scalability and widespread acceptance of blockchain technology. 
"
Kickstarting blockchain: designing blockchain-based tokens for equity crowdfunding,"Leveraging the decentralized and transparent nature of blockchain technology, tokenized securities aim to revolutionize company financing, particularly for early-stage ventures and equity crowdfunding. Despite the emergence of ICOs and STOs as potential solutions, utilizing blockchain for alternative equity funding remains challenging for burgeoning companies, leaving the concept of blockchain-based equity tokens largely theoretical. Furthermore, the existing literature lacks a comprehensive framework for designing and implementing such tokens. Addressing this gap, this study employs a design science research methodology to conceptualize, build, and assess a prototype equity token specifically tailored for crowdfunding. We introduce an enhanced crowdfunding model and establish seven design principles that contribute to the theoretical foundation of equity tokens. The findings demonstrate that these tokens offer improved efficiency, transparency, and interoperability, while adhering to regulatory standards and facilitating secondary market transactions. 
"
A scalable blockchain storage scheme for VANET,"Vehicular ad-hoc networks (VANETs), which serve as the foundation for smart transportation systems enabling advancements like self-driving cars, safety features, and interconnected cities, face significant security and privacy challenges due to their public nature and the sensitive data they handle. Blockchain technology, with its inherent decentralization, immutability, and traceability, offers a potential solution. However, conventional blockchain systems demand substantial storage and processing power, which is often beyond the capabilities of resource-constrained VANET devices like roadside units (RSUs), onboard units (OBUs), and sensors. To address this, this study introduces a novel blockchain framework designed for scalable storage within VANETs. This framework leverages network partitioning and a multi-consensus approach to optimize the blockchain's structure and consensus mechanism. To minimize storage demands on participating RSU nodes, a collaborative storage system and a dynamic replication strategy for the blockchain ledger are employed. Evaluations demonstrate that this scalable storage solution significantly reduces storage requirements for blockchain nodes compared to existing methods, enabling resource-limited VANET devices to participate in blockchain maintenance, preventing centralization, and promoting secure and trustworthy sharing of traffic data. 
"
Blockchain-Technologie im Supply Chain Management – Anwendungspotenziale und Kompetenzlücken,"In vielen Branchen erkennen Unternehmen und praxisorientierte Forschung das enorme Potenzial der Blockchain-Technologie. Insbesondere im Bereich des Supply Chain Managements verspricht der Einsatz dieser Technologie signifikante Verbesserungen in puncto Effizienz, Transparenz und Vertrauen zwischen den verschiedenen Akteuren entlang der gesamten Lieferkette. Für die erfolgreiche Implementierung und den Betrieb leistungsfähiger Blockchain-Lösungen ist ein angemessenes Kompetenzmanagement von entscheidender Bedeutung, um sicherzustellen, dass die Mitarbeiter über die erforderlichen Fähigkeiten und Kenntnisse verfügen.  Obwohl bestehende Kompetenzrahmen eine Bandbreite digitaler Kompetenzen abdecken, fehlt es bisher an spezifischen Kompetenzen für den Einsatz von Blockchain-Technologien. Dieser Beitrag adressiert diesen Mangel, indem er nach einer kurzen Einführung in die Blockchain-Technologie und deren Funktionsweise die Anwendungsmöglichkeiten im Supply Chain Management aufzeigt. Darauf aufbauend wird ein Kompetenzrahmen für Blockchain-basiertes Supply Chain Management entwickelt. Abschließend werden Kompetenzdefizite in der Praxis beleuchtet, Handlungsempfehlungen für Unternehmen formuliert und eine Schlussfolgerung gezogen. 
"
Blockchain-Enabled land management systems,"A key element of any revenue department is its land registration system, acting as a repository of land ownership information. However, many nations rely on centralized, paper-based land records, leaving them susceptible to fraudulent activities. This centralized approach also suffers from inefficiencies, a lack of transparency, potential for double-spending, and vulnerability to system-wide failures, all of which can breed corruption and disputes.  Blockchain technology has emerged as a potential solution for strengthening security in land revenue systems. By leveraging Blockchain, common issues like forgery, falsification, misrepresentation, and human error at various levels can be mitigated. This study delves into the interplay between Blockchain technology and land administration. It analyzes the shortcomings of existing paper-based, centralized systems and explores the potential advantages of incorporating Blockchain into land management.  A comparative analysis of current technological solutions, including their limitations, is presented. Finally, the research identifies challenges and future directions for Blockchain-powered land management systems. 
"
Olympus: a GDPR compliant blockchain system,"The increasing popularity of blockchain technology across various fields has been accompanied by significant data protection concerns.  The European Union's General Data Protection Regulation (GDPR) prompted global companies to revamp their personal data processing practices. This initiative presents a GDPR-compliant model and implementation of a blockchain system for personal data storage. Through an evaluation of the system's strengths and limitations, we demonstrate its feasibility. The system leverages Hyperledger Fabric as the blockchain framework, the Interplanetary File System for off-chain personal data storage, and a Django REST API to facilitate interactions with both the blockchain and the distributed file system. Olympus accommodates three user types: Data Subjects, Data Processors, and Data Controllers.  A fourth participant, the Supervisor Authority, while not an explicit role, is empowered to conduct all GDPR-mandated verifications. Our findings suggest that it is feasible to develop a system that addresses the key challenges of storing personal data on a blockchain (Right to be Forgotten and Right to Rectification) while preserving its advantageous attributes (auditability, verifiability, tamper resistance, and distributed nature for single point of failure elimination) and adhering to GDPR requirements. 
"
Blockchain meets machine learning: a survey,"Two burgeoning technologies, blockchain and machine learning, are rapidly transforming diverse sectors. While blockchain offers a secure and transparent system for transaction recording, machine learning facilitates data-driven insights through large-scale data analysis. The synergistic potential of these technologies has become a focal point for researchers and practitioners alike. This work delves into the core principles of both blockchain and machine learning, followed by an exploration of their combined applications in finance, healthcare, supply chain management, and security. Through a comprehensive literature review, the study highlights the benefits of integration, including enhanced security, privacy, and decentralization. Blockchain's decentralized and immutable record-keeping capabilities, coupled with machine learning's ability to extract valuable insights from massive datasets, hold the promise of revolutionizing industries. This integration can lead to increased efficiency through automated and trustworthy processes, data-driven decision-making, and fortified security measures that mitigate vulnerabilities and ensure data integrity. However, several challenges, such as security concerns, strategic planning, information processing, and scalable workflow development, need to be addressed before widespread adoption can occur. Overcoming these hurdles is crucial for unlocking the full potential of blockchain and machine learning. 
"
